old,english,speaker
時間経過により戦況が悪化していく――,,0
"時間内の征圧に成功――！
次のミッションへ進行",,0
"時間内の征圧に失敗――
次のミッションへ進行",,0
"時間内の征圧に成功――！
次のミッションへ進行",,0
"パーティーメンバーの死亡により
戦況が悪化していく――",,0
砦内にパーティーメンバーが進攻した！,,0
攻城兵器が完成した！,,0
敵勢力が覚者の命を狙っている――！,,0
砦の正門が開いた！,,0
"征圧時間終了――
次のミッションへ進行",,0
"番兵の討伐に成功！！
２階の砲撃場へ突入が可能！",,0
自軍陣地の防衛に成功！,,0
獣の将が魔物を呼び寄せようとしている――,,0
状況が悪化し、獣の将が強き魔物を呼び寄せる――！,,0
召喚された魔物を一掃した――,,0
獣の将が現れた！,,0
地下宝物庫を塞ぐ扉が開いた――！,,0
9０秒後にリザルトへ移行します,,0
獣の将が姿を消した――,,0
敵増援部隊に砦陣内を奪われそうだ――,,0
獣の将が逃げ出しそうだ――,,0
"砦に潜む魔竜軍雑兵を全滅させた――
戦況ゲージが回復した！",,0
"敵隊の討伐に成功！！
大砲の増強を阻止した！",,0
"敵隊の討伐に失敗――
砦内の大砲が増えてしまった！",,0
"番兵の討伐に失敗――
砲撃場への突入チャンスを逃した",,0
"砦内の大砲を全て破壊した――
戦況ゲージが回復した！",,0
時間内の進攻に失敗――,,0
敵陣旗を破壊し、雑兵の援軍を抑えた！,,0
