old,english,speaker
"うむ――
かつては時を惜しんで術の探究に励んだ
ものだが、今やただ耐えて過ごすばかり",,Metrophanes
我らはこれで良いのだろうか,,Metrophanes
"覚者とは、竜とは何なのだろう
この世界の理、それがどういうものであるのか
あの男には見えていたのだろうか",,Metrophanes
"森の民エルフ――
竜力増幅のため、ゴルゴランに捧げられた
莫大な数、莫大な量の命――",,Metrophanes
溶命炉は、まさしく禁忌の技であったのだ,,Metrophanes
"私にご用かな
友への呼びかけであれば、力添えをしよう",,Metrophanes
"護政区の礎からここに至るまでに
半壊した建物があっただろう",,Metrophanes
"あの奥には《錬金研究室》があってな
合成用や研究用に選抜された魔物が
これまでに数回、暴走していたことがある",,Metrophanes
"魔物を意のままに制御しようなど
もともと手を出してよい研究ではなかったのだ",,Metrophanes
"友へ呼びかけたいというのなら
私に任せてくれ
せめて最後まで力になりたいのだ",,Metrophanes
"――ずっと後悔してきた
今ばかりは後悔の無い選択をしたい",,Metrophanes
"覚者、竜、理――
どれだけ研究を重ねても
私にはその存在に対し、理解が及ばなかった",,Metrophanes
"己の命が、己の身体が滅んでも
この世の理というものは不変であると
そう信じてきたのだ――",,Metrophanes
"だからこそあれほどまでに
研究に打ち込めたのだろうな",,Metrophanes
