old,new,english,speaker
"あー、覚者さま！
クランショップから≪ポーン遠征隊≫を買わないと
スポットを探索できないんだよ！",,,Clan Member's Pawn_pure
"ごめんね、覚者さま――
クラフト中のポーンはクラフトをしているから、
ポーン遠征隊の探索にいけないんです",,,Clan Member's Pawn_pure
覚者さま！　今日はどこに探索しにいきますか？,,,Clan Member's Pawn_pure
"今日はもう、スポット探索に派遣したみたいだから
これ以上探索にはいけないんです――ごめんなさい",,,Clan Member's Pawn_pure
"行ってきまーす！
覚者さま、お土産期待しててくださいね",,,Clan Member's Pawn_pure
"あれ、覚者さま
手持ちを<VAL>個空けてくれないと
遠征成果を渡せませんよ！",,,Clan Member's Pawn_pure
"《<VAL SPOT>》を探索してきましたよ！
なんと<VAL EMNAME><VAL>体とかの
討伐をしてきちゃいました
へへ、どうですか？　嬉しいですか？",,,Clan Member's Pawn_pure
"《<VAL SPOT>》を探索してきました
<VAL EMNAME><VAL>体とかの
討伐をやってきましたよ！
ああ、もう、どうなることかと思いました――",,,Clan Member's Pawn_pure
"覚者さまのご命令通り
《<VAL SPOT>》に探索に行って
<VAL EMNAME>たちと戦ってきましたよ！
ちゃんと<VAL>体倒してきたんですから！",,,Clan Member's Pawn_pure
"《<VAL SPOT>》を探索してきましたよ！
それから、お宝を見つけたんです
これ――覚者さまにあげますね
きっと、すーっごく貴重なものですよ！",,,Clan Member's Pawn_pure
"ただいま戻りました、覚者さま！
《<VAL SPOT>》の探索中に
お宝を見つけたから、お土産にあげますね！",,,Clan Member's Pawn_pure
"ふぅ、《<VAL SPOT>》から戻りました
ちょっと無茶しちゃったけど――
お宝を見つけたから、持って帰ってきたんです
覚者さまが喜んでくれるといいなって",,,Clan Member's Pawn_pure
"そういえば、覚者さま！
《<VAL SPOT>》に異変が
起きているみたいですよ
クランメンバーのみんなで一緒に探索しましょうよ！",,,Clan Member's Pawn_pure
"覚者さま、遠征成果の取り忘れはないですか？
ぼくらのがんばり、ちゃんと受け取ってくださいね！",,,Clan Member's Pawn_pure
"はーい！　ぼくだよ、覚者さまのポーンですよー！
それで、何かご用ですか？",,,Clan Member's Pawn_pure
今日も怪我なく、元気に戻ってきてくださいね！,,,Clan Member's Pawn_pure
"覚者さま――ぼく――
迷子になっちゃったかと思いました",,,Clan Member's Pawn_pure
"なんだか、広くて大きくてわくわくするなぁ！
隠し部屋があったりして――
ねぇ、覚者さま！　あの上までどっちが
早く登れるか、ぼくと競争しませんか？",,,Clan Member's Pawn_pure
