old,new,english,speaker
"ああ、覚者さま――
どうか今一度私を――","If you would allow me another chance, Arisen...",,Shy Pawn
我らはいつも、覚者さまとともに,"We will be always by your side, Arisen.",,Shy Pawn
"覚者さま、お力添えの機会
お待ちしています","I await the opportunity to lend you my strength, Arisen.",,Shy Pawn
"覚者さま、どうぞ私にも同伴の許可を
リムストーンからのお声掛けを
お待ちしています","You need only call me from a Riftstone and I will gladly accompany you, Arisen.",,Shy Pawn
冒険の手助けなら、いつでもいたします,I am ready whenever you should need assistance.,,Shy Pawn
まだ、作業を承っておりません,I have not yet accepted a crafting request.,,Shy Pawn
ご指示をお待ちしています,I await your orders.,,Shy Pawn
"旅かクラフトのご用命あらば
いつでも動きます",I am ready for crafting or an expedition whenever you wish.,,Shy Pawn
只今作業中ですので、お待ちください,I am crafting now. Please wait a while.,,Shy Pawn
完成まで、いましばらくかかります,It will take some time before it is complete.,,Shy Pawn
集中力を要しますので、会話はまた後ほど,I am concentrating now. I will speak with you later.,,Shy Pawn
"救っていただき、ありがとうございます
次こそは必ずお役に――！",Thank you for saving me. It will not happen again.,,Shy Pawn
"申し訳ありません、覚者さま
精進いたします","I apologize, Arisen. I will devote myself to this task.",,Shy Pawn
"次こそご期待を――
この経験を生かします",I have learned from this experience. Next time I will not fail you.,,Shy Pawn
