old,english,speaker
覚者さま、今日は私から戦技のご提案があります！,,0
"覚者さま、あなたにお仕えしてきたおかげで
私の意思疎通力が上がりました！",,0
覚者さま、新しい表現方法を思いつきました！,,0
覚者さま、これからもよろしくお願いします！,,0
"最近はやりの髪型にしてみたんです
いかがでしょう、似合っていますか？",,0
"そう言っていただけると嬉しいです！
もし覚者さまのお気に召しましたら
《美容院》でセットすることで
これからずっとこの髪型にする事もできるようです",,0
"覚者さまは、以前の髪型が
お気に召していたのですね",,0
"もしも、覚者さまの手から
贈り物をいただけたらと思うと――
特に、<COL b92828><NAME ITEM>を<VAL> 個</COL>いただけると
とても嬉しいです",,0
"えっ！　ほ、本当にいいのでしょうか？
嬉しいです――！
このご恩は、必ずお返ししますね！",,0
"――そうですよね、申し訳ございません
不相応なお願いをしてしまいました",,0
"覚者さま――お気持ちはとても嬉しいのですが
<COL b92828><NAME ITEM></COL><COL b92828><VAL> 個</COL>には
お手持ちが足りないようです",,0
"覚者さまにお披露目したいものがあるので
しばらく外を散歩してきていただけませんか？",,0
本当に、私をパートナーから外されるのですか？,,0
覚者さま、ご機嫌いかがでしょう,,0
覚者さま、今日も良い天気ですね！,,0
"覚者さまの強さがポーンより格上だと
ポーンが積める戦いの経験量が増えるそうですよ
覚者さまに追いつくため頑張っているのでしょうね",,0
"こんにちは、覚者さま！
さあ、今日も冒険へ出かけましょう！",,0
"お帰りなさい、覚者さま
ご飯にしますか？　お風呂にしますか？",,0
"はい、なんでしょう？
なんなりとお申し付けください",,0
"安全と安心の満ちた部屋――
ポーンであるこの身に
このような場所が与えられるとは思いませんでした",,0
"ポーンである事に疑問は抱きません
覚者さまにお仕えできて、十分に幸せだからです",,0
"ポーンである私を、ご自室に迎え入れてくださって
ありがとうございます！",,0
――あ！？　はい、なんでしょう？,,0
"ご用件があろうとなかろうと
覚者さまのお声掛けには必ずお答えいたしますよ",,0
"段々、覚者さまのお気持ちが
分かってきたような気がします
覚者さまに話しかけられると――
暖かい、不思議な気持ちです",,0
"ああ、ちょうど今覚者さまの事を考えていたんです
――気付いていらっしゃったのですか！",,0
ふふふ――くすぐったいですよ、覚者さま,,0
"今日も冒険に出られるのですか？
たまには、その――お部屋でゆっくりされては？",,0
"あ、もうご出発でしょうか？
すぐに支度いたします――あっ
も、もしかして私は留守番ですか？",,0
"今日も魔物の討伐に向かわれるのでしょうか？
あまり――ご無理はなさらないでくださいね",,0
"はい、覚者さま！
私はいつまでもあなたのお傍におりますよ",,0
"ふふ、どうされたんですか？
覚者さまの温もりを感じます――",,0
"覚者さま、私はいつまでもここで待っております
いつまでもお待ちしておりますから――",,0
"この間、庭に仔グリフィンが来ていたんです
怯えているようだったので、あやしてみたら――
ふふふ、とっても可愛かったです！
覚者さまも、ぜひ一度お試しください",,0
"庭に来ている動物たちですが
野生とはいえ少なからず
人間に興味を持っているようです
なんらかのエモートに反応するかもしれませんね",,0
"クラフトをしたり、一緒に冒険に行くことで
覚者さまへの理解が深まります！",,0
"レスタニアンパペットをじっと見ていると――
なんだか、ふつふつと血が湧きたつような気がします",,0
"クラフトの際は
任せるポーンの選択にお気を付け下さいね
我々は同じポーンでも、それぞれ能力が異なりますから",,0
"神殿の外で
戦技の切り替えを行えるのはご存知でしたか？",,0
"覚者さまのように感情を体で表現したくて
日々、お傍で観察しています！",,0
"覚者さまに出会わなければ
私はレスタニアしか知らないまま
だったかもしれません
今の私があるのは、全て覚者さまのおかげです",,0
"覚者様のお傍にいても恥ずかしくないように、
流行には常に気を使っているんです
特に髪型には並々ならぬこだわりがあります",,0
