old,new,english,speaker
おう！　覚者様、よろしくお願いします,"Oh!　Thank you very much, Arisen!",,0
どうも。遠慮しねぇで何でも言ってくださいよ,Hi. Don't hesitate to tell me anything.,,0
俺の力、きっとお役に立ちますぜ,My power will surely be of use to you.,,0
どんな戦場でも喜んで,I'm willing to go to any battlefield.,,0
こっちの準備ぁできてます。行きますか,I'm ready. Shall we go?,,0
きっちりお守りしますんで、ご安心を,"We will take good care of you, don't worry.",,0
おっ、この感じ。あの方が来ましたか,"Oh, this feeling. Has that person arrived?",,0
ハッ！　何とかうまくいきましたね,"Ha! Somehow, it went well, didn't it?",,0
上出来だったと思いますがね,"I think it went well, but...",,0
結構な成果ですよ、こいつぁ！,"This is quite an achievement, I must say!",,0
あぁ、下手うっちまいましたね。こりゃ,"Oh, I'm so bad at this. Oh, shit.",,0
お！？　悪くねぇ手ごたえだ,Oh?　That's not bad.,,0
うおおっ！　力が漲ってきやがる,Wow!　I'm filled with power!,,0
へっ！　次の戦闘、期待して下さいよ,"Heh!　Next battle, you can look forward to!",,0
さぁてと、どっから行きましょう？,"So, where shall we go from here?",,0
ま、何かあったらその時考えましょう,"Well, if something happens, we'll think about it then.",,0
エモノですぜ,It's the target,,0
敵ですよ、やりますか？,Are they the enemy? Will you fight?,,0
敵か？　仕方ねぇ――！,Enemies?　It can't be helped--,,0
舐めてかかると、痛い目見そうだな。ありゃ,"If you underestimate me, you're in for a world of hurt. Well then...",,0
チッ！　厄介そうなヤツですね,Tsk!　He looks like trouble.,,0
すまねぇ！,I'm sorry!,,0
誰か、手ぇ貸してくれ！,Somebody give me a hand here!,,0
クッ！　離しやがれ、この！,"Kuh!　Get off me, you son of a bitch!",,0
おい、冗談――だ――ろ――,"Hey, it's just a joke, you know",,0
なっ――何ぃっ！？,What- What's happening!?,,0
来やがったな！,You came!,,0
へっ、やりますか！,"Well, shall I do it?",,0
お怪我ぁありませんでしたか？,Were you injured?,,0
まっ、運動がわりにゃなりましたね,"Well, I guess I got my exercise instead.",,0
覚者様の邪魔してんじゃねぇぞ、おう！,Don't get in the way of the Master of the Arisen!,,0
よし、捕まえたぜ！！,"Okay, I got you!",,0
あぁ、大した怪我じゃありません,"Oh, it's nothing serious.",,0
楽勝ってわけにゃいきませんね,It's not going to be an easy win.,,0
つっ――気ぃ引き締めます――,I'm going to brace myself.,,0
さすがにこりゃ、きついな――,This is a tough one...,,0
これ以上の無理ぁ、保障できませんよ,"I cannot guarantee any more than this, it's impossible",,0
おい！！　嘘だろっ、覚者様！,"Hey!　No way, Lord Arisen!",,0
食らわしてやる――,I'm gonna make you pay for this...,,0
おう、回復だ！,"Oh, recovery!",,0
どこ見てやがる、相手は俺だ！！,"Where are you looking, I'm your opponent!!",,0
よし、援護する！,"Okay, I'll cover for you!",,0
あぶねぇな！,That's not safe!,,0
おう、うらぁッ！！,"Oh, ugh!",,0
食らいやがれッ！！,Take it!,,0
