old,new,speaker,english,speaker,english,speaker
"せっかく砦に戻ってこられたけど
食料はまったく残ってなかったし
ここを手伝ってくれていた人たちも行方知れず",,Carrie,,Carrie,,Carrie
"それに、みんなに座ってもらう
テーブルや椅子なんかも全部壊されちゃって――",,Carrie,,Carrie,,Carrie
"――ここね、魔軍の手に落ちる前は
色んな人たちが集まってくる大食堂だったんだよ",,Carrie,,Carrie,,Carrie
"みんながご飯を食べてニコニコして
疲れを癒していく場所だったの
――今じゃ見る影もないでしょ？",,Carrie,,Carrie,,Carrie
"もう、疲れて砦に帰ってくる人たちに
ご飯を出してあげることはできない――
料理番にとって、こんなに辛いことってないわ",,Carrie,,Carrie,,Carrie
"ううん、料理を出せない料理番なんていないよね
いつかアタシ、ここから追い出されちゃうのかな",,Carrie,,Carrie,,Carrie
"え――
砦の――外に出ろって？",,Carrie,,Carrie,,Carrie
"外に出て、食料になるようなものを
探してこればいいって？",,Carrie,,Carrie,,Carrie
"それができたらいいんだけど――
無理だよ、そんなの",,Carrie,,Carrie,,Carrie
"あなたも知ってるでしょ
そこらじゅう、魔物だらけなんだよ",,Carrie,,Carrie,,Carrie
"戦士のみんなみたいに
魔物と戦ったりなんか、できないから――",,Carrie,,Carrie,,Carrie
護衛を提案する,Suggest an escort,Carrie,,Carrie,,Carrie
鍛練を提案する,Suggest training,Carrie,,Carrie,,Carrie
"あなたがなんとかするって？
――ほんとに？",,Carrie,,Carrie,,Carrie
"う～ん――じゃあ
外、出てみようかな――ちょっとだけ",,Carrie,,Carrie,,Carrie
"このままずっとここにいても
何も変わらないもんね",,Carrie,,Carrie,,Carrie
"悩むより動いてみるっていうのはいいかも
とりあえず、まずはここから出ないと",,Carrie,,Carrie,,Carrie
"――え？
そりゃ、アタシも剣を持てたらって
思うことも多くなったけど――",,Carrie,,Carrie,,Carrie
"そういうのは向いてないっていうか――
それに、今から鍛練したってアタシが一人で外に
出られるようになるには時間がかかりすぎるよ！",,Carrie,,Carrie,,Carrie
"――それじゃあ一緒についててくれるって？
ううん――それだったら、まぁ、何とか――",,Carrie,,Carrie,,Carrie
"突然一人で放り出したりとか
絶対しないって約束してくれるなら――
ちょっとだけ外に出てみてもいいけど――",,Carrie,,Carrie,,Carrie
"自己紹介、もうしたっけ？
えっと――アタシ、キャリー
これでも、この砦の大食堂を任された料理番",,Carrie,,Carrie,,Carrie
"今は、食堂というよりがれきの山だけどさ
――そんなことより、食料！
今日みんなが食べるもの、どうにかしないと",,Carrie,,Carrie,,Carrie
空って――こんなに広かったんだね,,Carrie,,Carrie,,Carrie
