old,new,speaker
"ねぇ、盗賊さん――スニーカーさんだっけ
あの人が洞窟に檻を仕掛けてきたんだって――",,Carrie
"盗賊の親分さんに“魚を獲ってくる係”に
任命されたから、身近で水気のある洞窟に
檻を置いたらしいの――",,Carrie
"洞窟で魚は獲れないのに、何してるんだろうね！？
しかも、檻を仕掛ける時に怖い思いをしたから
檻の回収にも行けないんだって！",,Carrie
"――というわけで、魚の調達と
洞窟にある檻の回収を頼まれちゃったよ",,Carrie
"ピレモスの時みたいに
木の実やキノコなんかを届けるつもりで
引き受けたのにー！",,Carrie
"はぁ――食料は届けてあげたいけど
水辺にも、怖いものがいるらしい洞窟にも
近寄りたくないよ――",,Carrie
"特に水辺は――うう――
スニーカーさんも、どうしてお魚係になんて
任命されちゃったんだろう
魚獲りが上手そうな顔、してないのに",,Carrie
"はぁ、勢いで引き受けちゃったけど
気が重いな――
そろそろ、出発する――？",,Carrie
出発する,Depart,Carrie
――少し待ってほしい,...I want to wait awhile,Carrie
"それじゃあ、まずは関所を通っていこうか
盗賊さんたちもお腹減ってるだろうし
さっさと終わらせちゃおう！",,Carrie
"うん、わかった
アタシも気が重いから
あなたの気持ちはよくわかるよ",,Carrie
"今ってさ、湖畔――
つまり、水辺に向かってるんだよね――？
“アイツ”がいるかもしれないよね？",,Carrie
"嫌だな――やっぱりやめたいなぁ
水辺以外でお魚採れそうなところって無いかなぁ",,Carrie
湖畔へ向かう,Head toward the lakeside,Carrie
キャリーの話に付き合う,,Carrie
"やっぱり行かなきゃだよね――
うん、引き受けちゃったもんね",,Carrie
"そうだ、あなただけで行ってもらうわけには――
ダメだよね、うん――わかってた",,Carrie
"言っておくけど、“アイツ”を見たら
アタシどうなっちゃうかわかんないからね！",,Carrie
"“アイツ”――大っ嫌いなの
名前も口に出したくないくらい",,Carrie
"はぁ――水辺以外でお魚、獲れないかなぁ
例えば木に登って暮らす魚とかさ――",,Carrie
"はぁ、はぁ――
や、やっぱり出たじゃない！
水辺ってこれだから嫌なのよッ！",,Carrie
"うっ、腕が鳥肌になっちゃってる――
もうほんとにダメなのよ、“アイツ”だけは！",,Carrie
"あの魚みたいなトカゲみたいな顔も
頭から背中にかけての丸みも
二本足で歩くところも、全部ダメ！",,Carrie
"見るだけで全身ゾワッとして
バタバタ暴れながら転がり回りたくなるの！",,Carrie
"――そういえば、さっきアタシ何してた？
あんまり覚えてないんだけど――",,Carrie
"――あれ？
檻の中にゴブリンが入っちゃってる
この子、前にも会った子だよね？",,Carrie
"元気無いね――お腹、減ってるのかな
――ちょっと待ってて！
あの子に食料、渡してくるから",,Carrie
"――お待たせ！
あの子に食料も渡したし
さっさと檻を回収しちゃおうか",,Carrie
ゴブリンについて聞く,Ask about the Goblin,Carrie
食料について聞く,Ask about the food,Carrie
"困ったな
あのゴブリンの子――
いっつもお腹空かせてるんだよね",,Carrie
"そうだ！
あの子の名前、“ペコ”ってどう？
会うたびいつも、“腹ペコ”だからね",,Carrie
"え？　どうしていつも食料を渡すのかって？
それもあんなにたくさん？",,Carrie
"――わかるんだ
アタシもさ、おんなじだったの、
昔住んでた場所が魔物に襲われてね",,Carrie
"魔物から必死で逃げて
自分がどこにいるのかもわからなくなって
一歩も歩けなくって、もうダメだ！って",,Carrie
"でもその時に、私を助けてくれた人がいた
「困ってる者を助けるのは当然だ」って",,Carrie
"見ず知らずのアタシに
お腹いっぱいになるまで
食べさせてくれたんだよ――",,Carrie
"――きっと、あの子も、いろいろあると思う
さっきあげた分も、もしかしたら
自分じゃ食べられてないのかも",,Carrie
"だから、いっぱいあげたら、その分
あの子も少しは食べられるかなって――",,Carrie
"――さ、思い出話はここまで！
今は、アタシにできることをやって
みんなの力にならないとね！",,Carrie
"食料を渡しちゃっていいのかって？
――いいのよ！",,Carrie
"だって、アタシもあなたも
今はお腹空いてないでしょ？
それに、食料はまた採ればいいんだから",,Carrie
"フゴ――ウガ、ウガ――
食ベモノ――",,Peco
ふーっ、やっとアジトについたね！,,Carrie
"アタシ、盗賊のアジトに来るのって初めて！
色々見て回りたいけど――",,Carrie
"ちょっと、疲れちゃったかな――
少し休んでからじゃないと動けないよ",,Carrie
"あなたは流石に元気そうだね
よかったら、スニーカーさんに
一声かけてきてくれない？",,Carrie
"おおっ、覚者さんじゃないですかい！
――ということは、キャリーの姐さんと
食料を運んできてくださったんで？",,Sunika
"ありがてぇことです！
これで俺らも、ここに逃げてきた人たちも
何とか今日の飯にありつけます",,Sunika
"俺が洞窟に設置した檻も
回収してくださったとか――
いや、変なところに設置してすみません",,Sunika
"洞窟には洞窟の魚がいるかと思ったんですがね
せっかくの檻を無駄遣いしたって
仲間から盛大に叱られちまいまして――",,Sunika
"これ、お礼というには足りないかも
知れやせんが――",,Sunika
"キャリーの姐さんが欲しがってた
井戸の修復に使える<COL ff2600>《水はけの良い石》</COL>でさ
話を小耳に挟んだんで、探しときやした",,Sunika
"おおっ、覚者さんじゃないですかい！
――ということは、キャリーの姐さんと
食料を運んできてくださったんで？",,Sunika
"ありがてぇことです！
これで俺らも、ここに逃げてきた人たちも
何とか今日の飯にありつけます",,Sunika
"俺が洞窟に設置した檻も
回収してくださったとか――
いや、変なところに設置してすみません",,Sunika
"洞窟には洞窟の魚がいるかと思ったんですがね
せっかくの檻を無駄遣いしたって
仲間から盛大に叱られちまいまして――",,Sunika
"ああ、スニーカーさん喜んでくれたんだね
良かった――頑張ったかいがあったよ",,Carrie
"少し休んで疲れもとれたし
そろそろティネス砦に帰ろっか！
ちょっと遠いから、帰りにかかる時間も
余裕みとかないとね",,Carrie
"むっ――
また妙な視線を感じるよ",,Carrie
"もう何だか慣れっこになっちゃったけど
何者かがこの食堂に入り込んでるみたい",,Carrie
"けど、スニーカーさんには
ついさっきアジトで会ったばっかりだし――
誰がいるの？",,Carrie
"ギャッ！？
グゴ――悪いコト、シテナイ！",,Peco
"出てク！　ココから出てク！
フギ――グギィ――",,Peco
