old,new,english,speaker
レバーがある,There is a lever,,0
引きますか,Pull the lever?,,0
引く,Pull,,0
引かない,Don't Pull,,0
扉には鍵がかかっている――,The door is locked,,0
鍵を使いますか,Use the key?,,0
使う,Use,,0
使わない,Don't Use,,0
エリアマスターにより封鎖されている――,It is blocked by the Area Master.,,0
"鍵がかかっている――
開くには<COL ffdc78>《<NAME ITEM>》</COL>が必要だ","It is locked.
<COL ffdc78>""<NAME ITEM>""</COL> is needed to open.",,0
こちら側からは開かないようだ,It cannot open from this side.,,0
不思議な力で封印されている,It is sealed with a mysterious force.,,0
何かが引っ掛かって開かない,It seems to be caught on something.,,0
厳重に封印されている――,It has been strongly sealed.,,0
文字はかすれていて読めない,The characters are faint and cannot be read.,,0
すでに息絶えている――,Out of breath...,,0
特に気になるものはない,Nothing of intrest here.,,0
何か仕掛けがあるようだ,Something feels off here.,,0
"この先は他の覚者とパーティーを組んだ
状態では進入できません","You cannot enter alone.
Make a party with other Arisen.",,0
"一人、またはポーンのみを連れて
訪れてください","Please take only one
person or pawn.",,0
行き先選択,Select Destination,,0
各ステージ名,Name of each stage,,0
やめる,Quit,,0
準備完了！　進行マーカーに触れてください,Ready! Please touch the progress marker.,,0
準備完了！　待機してください,Ready! Please wait.,,0
"パーティー全員が集合するまで
サークル内で待機してください","Please wait in the circle until
the entire party is ready, ",,0
リーダーが進行準備・パーティー招集を行いました,Leader has begun a progress preparation.,,0
"パーティー全員が集まり、準備完了したら
進行マーカーに触れてください","Gather the party if you are ready.
Please touch the progress marker.",,0
"イベントを進行しますか？
※パーティー要請中の場合はキャンセルされます","Are you sure you want to proceed with
the event?
※ If there is a party request, it will be
canceled.",,0
準備開始（パーティー招集）,Prepare (begin gathering party),,0
キャンセル,Cancel,,0
イベント進行はリーダーのみ可能です,Only the party leader can progress the event.,,0
イベント進行確認,Confirm Event Progress,,0
進行する,Proceed,,0
キャンセル,Cancel,,0
"イベント進行待機に入ります
準備はよろしいですか？","You will begin waiting to progress the event.
Are you sure you are ready?",,0
はい,Yes,,0
いいえ,No,,0
待機を解除しますか？,Are you sure you want to cancel waiting?,,0
はい,Yes,,0
いいえ,No,,0
"メンバーが集合するまで
サークル内で待機してください","Until the party members are ready,
please wait in the circle.",,0
イベント進行確認,Confirm Event Progress,,0
進行する,Proceed,,0
準備解除（パーティー招集中止）,Disband (stop gathering party),,0
キャンセル,Cancel,,0
イベント進行確認,Confirm Event Progress,,0
準備完了、待機,Ready and waiting.,,0
準備解除（パーティー招集中止）,Disband (stop gathering party),,0
キャンセル,Cancel,,0
"イベント進行確認
（全メンバーの準備完了を待ちます）","Confirm Event Progress
(Wait for all party members to be ready)",,0
準備解除（パーティー招集中止）,Disband (stop gathering party),,0
