old,,english,speaker
"おつかれさまです、隊長
俺のやる気、爆発しそうですよ！",Captain--I'll be counting on you for a few more minutes.,,Elliot
"隊長、俺を忙しくしてください
ジョゼフ様のところへは戻りたくないんです","Captain, please keep me busy I don't want to go back to Master Joseph.",,Elliot
"レスタニアはまた大変なことになりましたけど――
そのおかげで隊長と一緒に働けて――","Lestania is in trouble again, but--
that allowed me to work with the captain and--",,Elliot
不謹慎だけど――俺、うれしいです,I know it's inappropriate—but I'm glad I'm here.,,Elliot
"隊長がレオ統率の右腕なら――
俺は隊長の右腕になります！","If Captain is Leo's right-hand man, I will be Captain's right-hand man!",,Elliot
"リズと俺――ある意味、敵同士ですよね
どっちが隊長の信頼を勝ち取るか――みたいな","Lise and me――In a way, we are enemies, aren't we?
It's like, who will earn the captain's trust?",,Elliot
"セシリーはちょっと固いというか――
真面目すぎるんですよね","Cecily is a bit stiff or--
too serious.",,Elliot
"オーク戦争の頃、リズはレスタニアを巡って
お宝とか探してたらしいですね
なんだか、遅れを取った気分です","I heard that during the orc wars, Lise was cruising around Lestania looking for treasures and stuff.
I feel like I'm falling behind!",,Elliot
"侵食魔のせいかな――
少し空気が濁った感じ、しませんか？","Maybe it's the Corruption?
The air seems a little muddy, don't you think?",,Elliot
"隊長――
やっぱり覚者というのは戦ってこそ、ですよね
つくづく、そう思いますよ","Captain--
Indeed, it is through battle that an Arisen truly shows their worth.
I am deeply convinced of this.",,Elliot
"ガルドリンが細々と賭けを持ちかけてくるんですよね
おかげで――いえ、なんでもありません！","Gurdolin keeps coming up with small bets, you know. Thanks to that... Well, never mind!",,Elliot
"戦いに慣れてから、時々ですけど、もっと刺激が
ほしいなんて、考えちゃうんですよ","After getting used to battles, sometimes, I can't help but think that I want more excitement.",,Elliot
ダメですよね、こういうこと考えちゃ,"It's not good, thinking about things like that.",,Elliot
"ガルドリンのこと、いろんな人から聞くんですけど
どうやら最近は丸くなったというか
落ち着いたというか――","I hear about Gurdolin from various people, and it seems that recently, they have become more well-rounded, or rather, calmer.",,Elliot
"最近のことしか知らない俺にしてみれば
これで！？　って感じですけどね","From my perspective, as someone who only knows recent things, I have to say... is this it!? But well, that's how I feel.",,Elliot
"ジョゼフ様から聞く話に隊長が登場するようになって
どれくらい経つか忘れましたけど――","It has been some time since Captain made their debut, or so it feels, as I heard from Sir Joseph. But I can't exactly remember how long ago it was.",,Elliot
思うに、隊長って、全然変わってないですよね,"In my opinion, the captain hasn't changed at all, right?",,Elliot
"リズって、ああ見えて、意外と世の中を
見てるんですよね
自分のことは見えていないようだけど","Lise looks like that, but she sees the world
surprisingly well.
She doesn't seem to see herself, though.",,Elliot
なんでしょうか、隊長！,"What is it, Captain!",,Elliot
"セシリーはいい子ですよねえ
力になってあげたいなあ","Cecily is a good girl, isn't she? I want to be supportive.",,Elliot
"隊長、急ぎましょう
何もかも、急ぎましょう","Captain, let's hurry!
with everything, I mean",,Elliot
"早くセシリーを楽にしてあげないと
こっちまで息が詰まりそうです","We need to make Cecily feel better soon.
I'm choking up too!",,Elliot
"まあ、楽にすると言っても
どうしたらいいかなんて
わからないんですけどね","Well, even if I say I want to make it easier,
I don't know what to do, you know?",,Elliot
"騎士団には売れるだけ恩を売っておけなんていう
覚者もいますけど、俺に言わせれば
持ちつ持たれつですよ","Some Arisen believe in gaining favor with the knight order as much as possible, but in my opinion, it's all about mutual support.",,Elliot
"売ったとか買ったとか、借りた貸したなんて
どうでもいいことです――
って、考えられる人になりたいんです、俺","Selling, buying, borrowing, lending... It's all trivial stuff. I want to become someone who can think about more important things—me.",,Elliot
"時々、セシリーが思い詰めた顔をしていますよ？
なんとかしてあげられませんかねえ
もう、見ていられませんよ","Sometimes, Cecily has a troubled look on her face, you know?
Can't we do something to help her?
I can't bear to watch anymore.",,Elliot
"隊長、レスタニアは広いですね
今回ばかりは痛感しています","Captain, Lestania is far, isn't it?
I am feeling this particularly keenly this time.",,Elliot
"走っても、戦っても、尽きない敵
ええ、やりがいがありますよ！","Running, fighting, and endless enemies.
Yes, it's challenging!",,Elliot
俺、連戦でちょっと疲れちゃって――,I'm a little tired from the consecutive battles...,,Elliot
"もちろん、何かあれば動きますから
それ以外はここでジッとさせてください","Of course, if you need me to move, I'll move.
Otherwise, please let me stay put here.",,Elliot
"俺は隊長の右腕を自認してますから
誰が戻ろうと、去ろうと、そこだけは
変わりませんからね","I consider myself the captain's right-hand man;
No matter who comes back or leaves,
That will never change.",,Elliot
もちろん、ものすごく期待はしていますけど――,"Of course, I have really high expectations, but -",,Elliot
"セシリーの記憶が戻っても問題が
解決するわけじゃないんですよね
鍛錬して、腕を磨いておこうかな","Even if Cecily's memory returns, it doesn't mean the problem will be solved, right? Maybe I should train and sharpen my skills.",,Elliot
黒騎士対策が急務ってところですかね,Is countermeasures against the Black Knight the urgent matter here?,,Elliot
"記憶が戻るとか、どうでも良くなりましたね
せめて意識が戻ってくれれば――","Back to memory, or whatever, it doesn't matter anymore. At least if consciousness can return—",,Elliot
"隊長、急ぎましょうよ
急いては事をし損じるなんて
言ってる場合じゃありません！","Captain, let's hurry up.
There's no time to waste by rushing.
We can't afford to be talking about it!",,Elliot
"白竜様以外の竜の覚者と一緒に戦うなんて
こんな機会はもうないかもしれませんよね？",Isn't it unlikely to ever have the opportunity to fight alongside any dragon's Arisen other than the White Dragon?,,Elliot
"隊長と一緒にいられるだけでも幸せなのに
その師匠筋のレオ統率の生き様まで
間近で見られて――俺、胸が熱いです","I am happy just being able to be with the captain,
And now, witnessing the way of life of Leo
up close... My heart is burning.",,Elliot
"耳を澄ますと、聞き慣れない音がしますね
空気が濃くて、ねっとりとまとわりつくような――","When you listen carefully, you can hear unfamiliar sounds. The air is thick and sticky, as if it is enveloping you.",,Elliot
"気にしすぎですかね――
やっぱり、ビビってるんですかね",Is it because I'm worrying too much - Am I just being scared after all?,,Elliot
ガルドリンは俺が見つけてみせますよ,Gurdolin will be found,,Elliot
"あの人は認めないでしょうけど
俺たち、結構、心が通じ合っているような
気がするんですよね","That person might not admit it, but
I feel like our hearts are somewhat connected
you know",,Elliot
"ロイグはどこでしょうね
ガルドリンも、はぐれたきりらしいですよ",Where can Loeg be? Gurdolin also seems to be lost.,,Elliot
"セシリーのお父さんは
それなりに強い戦士に育った娘の帰りを
待っていたのではないでしょうか？",I think Cecily's father was waiting for his daughter to return after she grew up to be a strong warrior in her own right.,,Elliot
"本当は娘と一緒に行きたかったけど
いつまでも待っているわけにはいかず――","I really wanted to go with my daughter, but I couldn't wait forever to--",,Elliot
"とすれば、セシリーを早く帰してやれなかった
俺たちの責任も、あるのかもしれません","If that's the case, maybe it's our fault for not getting Cecily home sooner.",,Elliot
"族長が回復したらすぐに出発できるように
身体を温めておきましょう
電光石火の、雫奪回作戦です！","Once the clan chief has recovered, we can depart immediately, so let's keep our bodies warm. It's time for the lightning-fast operation to reclaim the drop!",,Elliot
"あははは
なんだかセシリーが大きく見えますよね
ここで居心地悪そうにしてた時とは
別人のようです","Ahahahaha!
Somehow, Cecily looks bigger, doesn't she?
She seems like a completely different person from when she was feeling uncomfortable here.",,Elliot
"フィンダムの中心部に向かうんですよね
しかも、世界を救うために――
これって、凄いことだなあ","We're heading to the heart of Phindym,
And to save the world--
This is awesome!",,Elliot
"さあ、まだ魔物はいますよ！
休んでいるヒマなんてありません","Well, there are still enemies here!
There is no time to rest.",,Elliot
"胸騒ぎが止まりません――
なんでしょう、これ","I can't stop the excitement--
What is this?",,Elliot
"わははは！
隊長、もう感情を抑えられません
早く決めちゃいましょう！","Wahaha!
Captain, I can't contain my emotions anymore.
Let's decide quickly!",,Elliot
"理というのは――
見方によっちゃあ、酷なものですね","Depending on how you look at it, order can be a cruel thing, you know.",,Elliot
"俺たちをここに連れてきた竜の思惑なんて
わかりませんけど、アッカーシェランには
俺たちの援助が必要です","I don't understand the intentions of the dragon that brought us here, but Acre Selund needs our assistance.",,Elliot
俺は、そう確信しています！,I am convinced of that!,,Elliot
この状況、俺たちで変えて見せましょう！,"Let's change this situation, and show what we can do!",,Elliot
王子はどこですかねえ,"Where is the prince, I wonder?",,Elliot
"聞くところによると西方はなかなか
厄介な地域らしいですよ","According to reports, the western region is said to be quite troublesome area.",,Elliot
王家の威光もあまり届いていないとか,The royal family's authority does not seem to reach very far.,,Elliot
"隊長、アッカーシェランの歴史や政治とは
距離を置いた方が得策ですよね","Captain, it's in your best interest to keep your distance from Acre Selund's history and politics",,Elliot
"王子救出に夢中になっていましけど
"悪しき竜"はどこにいるんでしょうね","I'm currently focused on rescuing the prince,
but where could the ""Evil Dragon"" be?",,Elliot
邪魔する気もないみたいですし,And they don't seem to want to interfere.,,Elliot
"王子はまだまだ子供で頼りないけど
そのおかげで解放軍は一丸となる――","The prince is still a child and unreliable, but thanks to that, the liberation army will unite as one.",,Elliot
"俺でさえ、守ってやりたいと
思いますからね","Even I, want to protect you.",,Elliot
"ネド王子、王子らしくあろうとして
無理してる気がするんですけど
隊長、どう思います？","Prince Nedo, I feel like he's trying to be more like a prince and forcing himself.
Captain, what do you think?",,Elliot
"武器、防具――装備品、全ての手入れは
完璧です！","Weapons, armor--equipment, all taken care of perfectly!",,Elliot
"悪しき竜"の言葉を覚えていますか？,"Do you remember the words of the ""Evil Dragon""?",,Elliot
"絶望の大陸を楽しめって――
俺たち、挑発されてますよ？
乗ってやりましょうか！？","""Enjoy the Land of Despair"" - we are being provoked. Shall we ride?!",,Elliot
"休める時には休む
これ、俺たちよく忘れちゃいますよね","Rest when you can.
We often forget this!",,Elliot
"休める時には休む
これ、俺たちよく忘れちゃいますよね","Rest when you can.
We often forget this!",,Elliot
やっぱり覚者は戦ってこそ、ですね,"After all, an Arisen should fight.",,Elliot
"これも広い意味で白竜様をお守りする
覚者ならではの戦いですから","This is also a battle in the broad sense of protecting the White Dragon, that only the Arisen can fight.",,Elliot
"ジョゼフ様じゃありませんが――
事がうまく運ぶほど"悪しき竜"の
動向が気になっちゃいますね","I'm not Joseph, but--
the more things go well, the more I wonder what the ""evil dragon"" is up to.",,Elliot
"解放軍が増員されれば俺たちの負担も
多少は減るでしょうから、黒い騎士のことは
その時に考えましょう","If the liberation army is increased, our burden will be
 reduced, so let's think about the black knight at that time!",,Elliot
"鎧の中身が誰だろうと目の前に現れたら
俺は戦うだけですよ！","Whoever is in the armor, if they show up in front of me I'm just going to fight!",,Elliot
"隊長、どうしましょう
何から手をつけていいのか――","Captain, what should we do
I don't even know where to start--",,Elliot
"早くなんとかしないと俺たちまで
動けなくなりますね","If we don't do something soon, even we will become unable to move.",,Elliot
"やりましょう、隊長
俺、レスタニアもアッカーシェランも
全部引き受けますよ！","Let's do it, Captain.
I'll take care of Lestania, Acre Selund,
I'll take care of everything!",,Elliot
"黒騎士を倒して白竜様の力と
メガドを取り戻しましょう！",Let's defeat the Black Knight and restore the power of the White Dragon and Megado!,,Elliot
"いやー、なんか、鼻歌出ちゃいますよ
ついつい浮かれちゃうんです","Well, somehow, a song just slips out.
I can't help but get carried away.",,Elliot
ネド王子が我々と離れたがっている――,Prince Nedo wants to leave us—,,Elliot
"これまでの経緯を思うと
それは考えにくいですよね","Given what we've been through,
that's unlikely.",,Elliot
"この時間に何かできることが
あるかもしれませんね？","At this time, there may be something we can do, right?",,Elliot
"体力増強とか地勢確認とか――
考えてみましょうか","Maybe we should think about increasing our strength, or checking the terrain--",,Elliot
"俺はいつ、どんな時でも隊長の右腕です
頼りにしてくださいね","I'm the captain's right hand man whenever and however you need me.
You can count on me.",,Elliot
"大丈夫ですってば！
みんな心配しすぎですよ","I'm fine!
Everyone is worrying too much.",,Elliot
"あははは――
少し張り切り過ぎました","Ahahaha――
I got a little too carried away.",,Elliot
"落ち着いたらキノザのお湯に浸かって
養生するつもりです","Once I get settled down, I plan to soak in the Kinoza hot spring for recuperation.",,Elliot
