old,new,english,speaker
"あー、覚者さま！
クランショップから≪ポーン遠征隊≫を買わないと
スポットを探索できないんだよ！","Ah, Lord Arisen!
I can't explore the
spot unless I buy a ""Pawn Expedition"" from the clan store!",,Clan Member's Pawn_pure
"ごめんね、覚者さま――
クラフト中のポーンはクラフトをしているから、
ポーン遠征隊の探索にいけないんです","Sorry, Arisen--
Pawns that are crafting can't go
to explore the pawn expedition!",,Clan Member's Pawn_pure
覚者さま！　今日はどこに探索しにいきますか？,Lord Arisen!　Where would you like to explore today?,,Clan Member's Pawn_pure
"今日はもう、スポット探索に派遣したみたいだから
これ以上探索にはいけないんです――ごめんなさい","It looks like I've already explored a spot today, so I can't go exploring any more--sorry!",,Clan Member's Pawn_pure
"行ってきまーす！
覚者さま、お土産期待しててくださいね","I'm off!
Please expect some souvenirs from me, Lord Arisen!",,Clan Member's Pawn_pure
"あれ、覚者さま
手持ちを<VAL>個空けてくれないと
遠征成果を渡せませんよ！","Oh, Arisen, if you don't
empty<VAL>spots, I can't give you
the results of the expedition!",,Clan Member's Pawn_pure
"《<VAL SPOT>》を探索してきましたよ！
なんと<VAL EMNAME><VAL>体とかの
討伐をしてきちゃいました
へへ、どうですか？　嬉しいですか？","I've been exploring<VAL SPOT>!
I've been killing some
<VAL EMNAME>, <VAL> of them.
Hehe, how do you like it?　Are you happy?",,Clan Member's Pawn_pure
"《<VAL SPOT>》を探索してきました
<VAL EMNAME><VAL>体とかの
討伐をやってきましたよ！
ああ、もう、どうなることかと思いました――","I've been exploring 《<VAL SPOT>》
I took down<VAL EMNAME><VAL>!
Oh, my God, I was afraid of what would happen--",,Clan Member's Pawn_pure
"覚者さまのご命令通り
《<VAL SPOT>》に探索に行って
<VAL EMNAME>たちと戦ってきましたよ！
ちゃんと<VAL>体倒してきたんですから！","I went to
《<VAL SPOT>》 to search for them and fought against
<VAL EMNAME>, as ordered by My Lord!
I've successfully defeated <VAL>!",,Clan Member's Pawn_pure
"《<VAL SPOT>》を探索してきましたよ！
それから、お宝を見つけたんです
これ――覚者さまにあげますね
きっと、すーっごく貴重なものですよ！","I've been exploring<VAL SPOT>!
And I found a treasure.
I'm going to give it to you.
I'm sure it's very valuable!",,Clan Member's Pawn_pure
"ただいま戻りました、覚者さま！
《<VAL SPOT>》の探索中に
お宝を見つけたから、お土産にあげますね！","I'm back, Master!
During my search for<VAL SPOT>
I found a treasure, so I'll give it to you as a souvenir!",,Clan Member's Pawn_pure
"ふぅ、《<VAL SPOT>》から戻りました
ちょっと無茶しちゃったけど――
お宝を見つけたから、持って帰ってきたんです
覚者さまが喜んでくれるといいなって","Phew, I'm back from 《<VAL SPOT>》
I was a bit reckless, but--
I found a treasure, so I brought it back
I hope the Master will be pleased.",,Clan Member's Pawn_pure
"そういえば、覚者さま！
《<VAL SPOT>》に異変が
起きているみたいですよ
クランメンバーのみんなで一緒に探索しましょうよ！","Oh, by the way, Master!
<VAL SPOT>It seems that there is something strange
happening in 《COPY00》
Let's explore it together with all the clan members!",,Clan Member's Pawn_pure
"覚者さま、遠征成果の取り忘れはないですか？
ぼくらのがんばり、ちゃんと受け取ってくださいね！","Dear Arisen, did you forget to get the results of the expedition?
Please accept our efforts!",,Clan Member's Pawn_pure
"はーい！　ぼくだよ、覚者さまのポーンですよー！
それで、何かご用ですか？","Hi, it's me!　It's me, the Masters pawn!
So, what can I do for you?",,Clan Member's Pawn_pure
今日も怪我なく、元気に戻ってきてくださいね！,Please come back today with no injuries and in good spirits!,,Clan Member's Pawn_pure
"覚者さま――ぼく――
迷子になっちゃったかと思いました","Master -- me --
I thought I got lost!",,Clan Member's Pawn_pure
"なんだか、広くて大きくてわくわくするなぁ！
隠し部屋があったりして――
ねぇ、覚者さま！　あの上までどっちが
早く登れるか、ぼくと競争しませんか？","It's kind of big and spacious and exciting!
There may be a hidden room or something...
Hey, Master!　Wanna race me to see who can get to the top
faster?",,Clan Member's Pawn_pure
