old,new,english,speaker
目指しましょう！　共に勝利を！！,Let's aim for it!　Together we will win!,,0
最高のパートナーですね、マスター！,"You are the best partner, Master!",,0
なんと心強い！　負ける気がしません！,How reassuring!　I don't feel like losing!,,0
共に行けること、誇りに思います！,I am proud to be able to go with you!,,0
おお！　この出会いに感謝します！,Oh! I am grateful for this encounter!,,0
いざ行かん、試練の旅へ！,Let us embark on a journey of trials!,,0
おお！　あの方が来られたのでは？,Oh!　Isn't that guy here?,,0
これぞ、熱意の成せる業！,This is the result of passion and dedication!,,0
よしッ！　次もこの調子で！！,Alright! Let's keep it up for the next one!,,0
我がマスターに栄光あれ！,Glory be to our Master!,,0
くっ――この失敗は次の糧に！,Well... This failure will be my next stepping stone!,,0
努力のたまものです！,It is the fruit of my efforts!,,0
我が力、尽きること無し！,My power is never ending!,,0
授かりし力、存分に奮う覚悟！,"The power bestowed upon me, I shall exert it to the fullest with unwavering resolve!",,0
どんな冒険が始まるのでしょうね、マスター！,"I wonder what adventures are in store for you, Master!",,0
我らの行く手、さえぎるものなし！,Nothing can stop us!,,0
いた、そこか！,There it is!,,0
敵発見、備えを！,"Enemy detected, be prepared!",,0
我がマスターの邪魔はさせるか！,I will not let you interfere with my master!,,0
これは！　相手にとって不足なし！,This is it! No shortage of opponents!,,0
なに、必ず勝機はあるはずです！,What? There is always a chance to win!,,0
面目ありません！,I am ashamed!,,0
――っ、救援を！,"――Help, rescue me!",,0
手を貸して下さい！,Please lend me a hand!,,0
む、無念――,I'm sorry...,,0
し、しまった――,"Oh, shoot.",,0
先手必勝！,Preemptive action!,,0
蹴散らしましょう！,Let's kick ass!,,0
うむ、いい戦いでした！,"Mm, it was a good fight!",,0
ははは！　我らの勝ちです！,Ha ha!　We win!,,0
我がマスターに敵はなし！！,Our Master has no enemies!,,0
マスター！！　今です！,Master!! Now!,,0
こんな傷など！　まだまだ余裕です,These are only scratches!　There is still room for more!,,0
これしきの傷で、引くものかっ！,I'm not going to back down just because of this little injury!,,0
危機にこそ、チャンスがあります！,There is opportunity in crisis!,,0
ま、まだまだぁ！！,"Well, not yet!",,0
うおおお、持ちこたえてみせる！！,"Woohoo, I'll hold on!",,0
マ、マスタァアーー！！！,"Ma, mastaaaaaaaah!",,0
はあああああっ！,Haaaaaaah!,,0
よし！　回復だ！,All right!　Recovery!,,0
こっちだぁ！　臆病者ども！,This way!　Cowards!,,0
何度でも助けます！,I will help you as many times as you need!,,0
そうはさせるか！,I won't let that happen!,,0
ここで行く！,Here we go!,,0
受けてみろ！,Take it!,,0
我が渾身の力！,With all my might!,,0
私を踏み台に！,Use me as a springboard!,,0
任せて下さい！,We'll take care of it!,,0
了解です！,Roger that!,,0
う！　で、できません！,"Oops! I, I can't do it!",,0
おお、冒険のご準備でしょうか？,"Oh, are you preparing for an adventure?",,0
"ご出発はいつでしょうか？
是非、お供を！","When is your departure?
Please let me accompany you!",,0
マスター？もしやお疲れではありませんか？,"Master? Are you tired, by any chance?",,0
疲れを取ることも大事です！,It is also important to get rid of fatigue!,,0
お休みになるのですね、マスター！よき夢を！,"You are going to have a good night's rest, Master! Sweet dreams!",,0
次の冒険に向けて英気を養いましょう！,Get energized for your next adventure!,,0
おお、部屋の雰囲気が変わりましたね！,"Oh, the atmosphere of the room has changed!",,0
模様替えをすると気分転換になりますね,"Rearranging the room can be refreshing, isn't it?",,0
マスター、エリア探索より戻りました,"Arisen, I have returned from exploring the area",,0
今回のエリア探索成果――、 自信があります！,I am confident in the results of this area exploration!,,0
ほう――ふむふむ――なるほど,Ho-hum-hum-hum--I see.,,0
マスター！　庭に何かいるようですよ！,Master!　There seems to be something in the garden!,,0
ははは、料理も楽しいものですね！,"Haha, cooking is fun too!",,0
より一層、励む次第です！,We will work even harder!,,0
この武具で覚者さまの剣となり盾となり！！,Become the sword and shield of the Arisen with this equipment!!,,0
ああ、はやくこのスキルを試したい！,"Oh, I can't wait to try this skill!",,0
よーし、新たな戦いをお見せいたします！,"Alright, we will show you a renewed battle!",,0
こういうゆったりした時間も良いものですね、マスター！,"This kind of relaxing time is also good, Master!",,0
どこにご一緒しようと、お役に立ってみせます！,"Wherever you are with us, we will be of service!",,0
はい、マスタ－！　私はここに！,"Yes, Master!　I am here!",,0
どうしました、マスター,"What is it, Master?",,0
いついつまでも、どこまでも、私はマスターと共に！,"I will be with you forever and ever, wherever you go, Master!",,0
"先日、別の覚者さまのクラフトのアシスタントをしました！
もちろん、全力で挑みましたよ！","The other day, I assisted a fellow Arisen in their Crafting!
Of course, I gave it my all!",,0
先日、別の覚者さまに我が闘志をご評価いただきました！,I was recently commended by another Arisen for my fighting spirit!,,0
この前、別の覚者様に我が装備をお褒めいただきました！,I was praised for my equipment by another Arisen the other day!,,0
