old,,speaker
【ヒント：マイ拠点の登録方法】,【Hint: How to Register a Favorite】,Alfred
①各拠点に設置された《拠点の礎》に触れて解放,"Touch the ""Portcrystal"" placed at 
each location to unlock it.",Alfred
"②タッチアクションから《マイ拠点に登録》を選択
※以降《リム転移》でいつでも瞬間移動できます","Select ""Register to My Favorites"" 
from the touch action.
※ Afterwards, you can teleport 
instantly using ""Rift Teleport"" at any time.",Alfred
帰還、遠距離移動には《リム転移》が便利です,"Rift Teleport, or ""Rift Teleportation,"" 
is useful for returning and long-distance travel.",Alfred
【ヒント：リム転移の使い方】,【Hint: How to use Rift Teleport】,Alfred
①ゲームメニューのワールドで《リム転移》を選択,"Select ""Rift Teleport"" in the Game Menu's World.",Alfred
"②移動したい場所を選択
※白竜神殿への帰還はノーコストです","Select the location you want to move to.
※Returning to the White Dragon Temple is free of cost.",Alfred
【ヒント：スポット情報の見方】,【Hint: How to read spot information】,Alfred
"採取アイテムや討伐対象の魔物を探すには、
エリアマスターの《スポット情報》が便利です","To search for items and 
target monsters for suppression,
the Area Master's ""Spot Info"" is convenient.",Alfred
①《エリア情報》から《スポット情報》を選択,"Select ""Spot Info"" from ""Area Information"".",Alfred
"②スポット情報で、「入手可能アイテム」と
　「魔物情報」を確認","In the spot information, 
check the ""Available Items"" and ""Enemies"".",Alfred
テル村の場所は地図で確認してくれ,"Please check the location 
of Tel Village on the map.",Leo
"白竜様はまどろみの中――
お変わりはありません","Lord White Dragon is in a slumber―― 
No changes have occurred.",Mysial
"白竜は自らを守るために
大勢の覚者を生み出した――","The White Dragon, in order to protect itself, 
gave birth to a multitude of Arisen――",Joseph
"白竜自身の言葉だから
異論を唱えるものは誰もいない","Because it is the White Dragon's own words,
there is no one who voices dissent.",Joseph
"これは太古の昔から竜とともに戦ってきた
白衛騎士団を否定するものではないのだが
面白くないと思っている騎士もおり――","This is not to deny the White Guard Knights, 
who have fought alongside dragons since ancient 
times, but some knights find it boring――",Joseph
おまけに思い上がった覚者も少なくはない,"Moreover, 
there are also quite a few arrogant Arisen.",Joseph
"わたしから見ると実にくだらない反目だが
だからといって鼻で笑うわけにもいかない
厄介な問題――というわけだ","From my perspective, it's a truly trivial rivalry,
but that doesn't mean I can just laugh it off.
It's a troublesome issue—that's the gist of it.",Joseph
ふふふ――,Hmmm--,Klaus
"大きな仕事を任せてもらえそうなんだ
正式に決まったら話すよ","I feel like I might be entrusted with a big job.
I'll talk about it once it's officially decided.",Klaus
ガルドリンのところへ行くんだって？,I heard you're going to Gurdolin's place?,Iris
"あのおっさん、言われるほど面倒な人じゃ
ないと思うんだよね
かばう気は全然ないけどさ","I don't think that old man is as 
troublesome as people say. 
I don't have any intent of defending him though.",Iris
こんにちは,Greetings.,Mayleaf
"あら？　さっき、そこに優しそうな顔の
青年がいませんでしたか？","Oh? Didn't I see a young man with a kind face 
over there just now?",Pamela
"優先権を主張するなら
さっさと終わらせてみやがれ","If you're claiming priority,
finish it quickly!",Gurdolin
俺たちに任せればすぐに終わりだ,"If you let us handle it, it'll be over soon.",Arisen Corps Regimental Soldier
"まずは調査を終えてからだ
それくらいわからんのか！？","First, finish the investigation.
Do you not understand that much!?",Heinz
順序、秩序は貴殿らにはないのか！？,Do you not have order or discipline?!,White Knight
"時間の無駄だ！
おまえらの相手をしているひまなどない！","What a waste of time! 
I don't have time to deal with you!",Travers
覚者はなめられたら終わりだぞ、新入り,"Underestimating the Arisen will be your downfall, 
newcomer.",Gurdolin
こっちに任せればすぐに終わるってのによ！,"If you leave it to me, it'll be over soon!",Arisen Corps Regimental Soldier
"くそっ――
なに？　詳しい事情が知りたい？","Damn it--
What?　You want to know what's going on?",Heinz
"だったらこの村の黒ブドウ亭にいる
アルフレドから聞くんだな","In that case, 
ask Alfred at the Black Grape Inn in this village.",Heinz
どうしてあんな奴が覚者なんだ！？,Why is someone like that an Arisen?!,White Knight
おまえ、余計なことはするなよ,"You, don't do anything you don't have to.",Travers
"貴君はレオの使者だな？
わたしからも状況を説明しておこう","You are Leo's messenger, aren't you?
Let me explain the situation to you.",Alfred
"村に魔物が出没するという問題に関連して
村はずれの廃屋から気味の悪い物音が
聞こえるという訴えがあった","Related to the issue 
of monsters appearing in the village,
there have been reports of eerie sounds coming 
from an abandoned house 
on the outskirts of the village.",Alfred
"棲みついた魔物がたてる音だろうと
我々は考えている",We think it's the sound of demons.,Alfred
"すでにガルドリンには伝えてあるが
あの覚者は動こうとはしない","I have already informed Gurdolin,
but that Arisen has no intention of moving.",Alfred
"口汚く騎士たちを侮辱するだけだ
いったい何を考えているのか――","He just insults the knights with his foul mouth.
What in the world does he think he's doing--?",Alfred
"ともあれ、レオからの指示があるのだな？
それを尊重して、問題の解決を図ってくれ
差配は貴君に任せよう","Anyway, Leo has given you instructions, right?
Respect them and try to solve the problem.
I'll leave it to you to make the difference.",Alfred
"ところで、廃屋へゆく前に村の
《拠点の礎》に触れて解放しておいてくれ
礎を解放しリム転移が使えるようになれば
神殿とテルの往来も楽になるだろう","By the way, before you go to the abandoned house, 
please touch the village's Portcrystal and unlock it. 
Once you unlock the Portcrystal and 
gain the ability to use Rift Teleport, 
it will be easier to travel between the temple and Tel.",Alfred
"怪しい物音のする廃屋はハイデル教会の
司祭が、代々使っていた家だ","The abandoned house with strange noises used to 
be the home of the priests of Hidell Church, 
passed down through generations.",Alfred
"時代とともに教会の教えは廃れてしまい
やがて司祭も姿を消した","Over time, the Church's teachings fell into disuse
and eventually the priests disappeared.",Alfred
"しかも、最後の司祭が村を出るところを見た者が
誰もいなくてな――","Moreover, there was nobody who saw the last 
priest leaving the village...",Alfred
"気味の悪さと後ろめたさから
廃屋に近づく者はほとんどいない","Due to the eerie feeling and guilt, 
very few people approach the abandoned house.",Alfred
"今は魔物の巣窟となっていても不思議ではないと
わたしは思っている","It is not strange that it has now become 
a den of monsters, I think.",Alfred
"《廃屋の地下室》はどっちかって？
それなら村の西、そこにある《エテルナ装具屋》
の裏をまっすぐさ","""Which way to the Abandoned House Cellar?""
If that's the case, 
go straight behind Eterna's Outfitter,
located in the west of the village.",Myra
しかし、あんな場所に何の用だい？,But what do you want in a place like that?,Myra
"ほう――
魔物は貴君が退治したのか
さすが、レオが見込んだ覚者だ","Oh—
So you're the one who vanquished the monsters.
As expected, 
you're the Arisen Leo placed his trust in.",Alfred
"あらためて自己紹介させてくれ
職はハイデル平原のエリアマスター
名はアルフレドだ","Let me introduce myself again. 
My occupation is as an 
Area Master of Hidell Plains. 
My name is Alfred.",Alfred
"長い付き合いになるだろう
よろしく頼む","It will be a long-term relationship.
I'm counting on you.",Alfred
"世話になったな
ガルドリンを連れて、神殿へ戻るがいい
後のことはわたしに任せてくれ","I am grateful for your help.
Take Gurdolin and return to the temple.
Leave the rest to me.",Alfred
おい、テル村の連中の話を聞いたか？,"Hey, have you heard about the 
folks from Tel Village?",Heinz
"あいつら、賭けをしていやがったんだ
魔物を倒すのは覚者か騎士団か――でな","They made a bet that the one who would defeat the 
demon would be the Arisen or 
the Knights of the Order.",Heinz
"騎士団に賭けていたのはたったひとり
――村の若い女だ","There was only one person who 
bet on the knight order
- a young woman from the village.",Heinz
"魔物を倒したのは公式には騎士団
つまり、その女が金を全部受け取った","The one who defeated the enemy was 
officially the Knight Order.
In other words, the woman received all the money.",Heinz
"おれの想像だがガルドリンは女から
金をむしり取ったに違いない
となれば、まったく、悪党だよ、あいつは","My guess is that Gurdolin has been extorting 
money from women.
 If that's the case, he's a real scoundrel.",Heinz
"もっとも、この話は騎士団にとっても
恥ずべきことだから誰にも言えない
せめて、おまえに話すことで
うさを晴らさせてもらうぞ","However, this story is a disgrace
even for the Knights, so I can't tell anyone.
But at least I will confide in you
to relieve my burden.",Heinz
"手柄をそんなことに利用されて
腹を立てているんだろう？","Are you upset that your accomplishments are being 
used for such a thing?",Heinz
おかえりなさい,Welcome back.,Mysial
"ガルドリンと一緒だったらしいね
ぼくはあの人が苦手でね――わかるだろ？","I heard you were with Gurdolin.
I'm not very good with him - you know what I mean?",Klaus
ある日突然出現した巨大建造物――,"One day, a gigantic structure suddenly appeared -",Joseph
"まだ正体は不明だが、あれを大石塊（アーク）と
呼ぶことにした、おまえも、覚えておくといい","Although its true nature is still unknown, 
we have decided to call it the ""The Ark"". 
It would be wise for you to remember that as well.",Joseph
ガルドリン、どうだった？,How was Gurdolin?,Iris
"ちょーっと押しが強いけれど
戦場じゃその方が頼りになるんだよね
仲良くしとくといいよ","They might be a bit pushy,
but on the battlefield, they're reliable.
It's better to get along with them.",Iris
はぁ――たいくつたいくつ,"Sigh—boring, so boring.",Mayleaf
"嫌な予感がします――
メイリーフがたいくつすると
事件が起こるんです――","I have a bad premonition...
When Mayleaf gets bored,
an incident will occur...",Pamela
"おお、戻ったか
ご苦労だったな","Oh, you're back.
Thanks for your help.",Leo
"テル村での事の次第は
ガルドリンから報告を受けたところだ","I just got a report from
Gurdolin on what happened in Tel Village.",Leo
"魔物を倒したのに騎士団の顔を立てようと
手柄を譲った――","Even though you defeated the monster, 
you let the knights take credit to save face.",Leo
"まあ、わからないでもない
命令とは全然違うことをしたわけだからな","Well, I can see why you feel that way. 
After all, you did something completely different 
from what you were ordered to do.",Leo
