old,new,speaker,english,speaker,english,speaker
"ふむ――よろしい
さっそく手順を説明しよう","Hmm... very well.
Let me explain the procedure right away.",Alvar,,Alvar,,Alvar
"まず《異界の狭間》へ行き――
その奥底の部屋を目指す――","First, go to ""The Rift""
and aim for its innermost chambers...",Alvar,,Alvar,,Alvar
"もし貴君が、我々が仕えるに足る
人物だとすれば――",If you are a man worthy of our service--,Alvar,,Alvar,,Alvar
"貴君はその部屋で
《リムストーンの原石》を見つけるだろう","In that room you will find
the Riftstone Ore.",Alvar,,Alvar,,Alvar
"それを持って
ここに戻って来なさい",Take it and come back here.,Alvar,,Alvar,,Alvar
その後のことは、その時にな,"What happens after that, that's up to you.",Alvar,,Alvar,,Alvar
ああ――,Ah—,Alvar,,Alvar,,Alvar
"もし、《リムストーンの原石》を
見つけることができなければ――",If you can't find the Riftstone Ore...,Alvar,,Alvar,,Alvar
"我々にできることは何もない
ポーンのことは忘れてくれ","There's nothing we can do about it.
Forget about pawns.",Alvar,,Alvar,,Alvar
では、健闘を祈るよ,"Well, I wish you the best of luck.",Alvar,,Alvar,,Alvar
【ヒント：異界の狭間への入り口】,【Hint: Entrance to the Rift of the Other World】,Alvar,,Alvar,,Alvar
"《異界の狭間》はアルヴァーのいる祭壇の地下に
入口があります
準備ができたら向かいましょう","The entrance to ""The Rift"" is located under 
the altar where Alvar is.
Head there once ready.",Alvar,,Alvar,,Alvar
"ひとりで《異界の狭間》へ行って――
《リムストーンの原石》を持ち帰る","Go alone to the ""Rift"" of the Other World
and bring back a ""Riftstone Ore"".",Alvar,,Alvar,,Alvar
きわめて単純なことだ,It's as simple as that.,Alvar,,Alvar,,Alvar
しかし――,However--,Alvar,,Alvar,,Alvar
"《異界の狭間》に行けるのは
一時にただひとりだけ
そう――貴君は試されている","Only one person at a time can go to
The Rift between worlds.
Yes--you are being tested.",Alvar,,Alvar,,Alvar
心して行くが良い,You'd do well to keep that in mind.,Alvar,,Alvar,,Alvar
《ポーン郷》のアルヴァーとは会えましたか？,Did you meet with Alvar in the Pawn Cathedral?,Mysial,,Mysial,,Mysial
"《ポーン郷》への道中はなかなか大変だ
先々での情報収集を怠るなよ","The road to the Pawn Cathedral is a tough one.
Don't neglect to gather information en-route.",Joseph,,Joseph,,Joseph
"ポーンが登場する瞬間は何度見ても
震えてしまうんだ
この世の不思議の代表格だね","No matter how many times I see the moment when 
Pawns appear, I can't help but tremble. 
They are truly the epitome of the mysteries 
of this world.",Klaus,,Klaus,,Klaus
"ほう――
確かにこれは《リムストーンの原石》","Ah――
Certainly, this is a ""Riftstone Ore"".",Alvar,,Alvar,,Alvar
では、次の段階だ,Now for the next step.,Alvar,,Alvar,,Alvar
"その石片を神殿の白竜様に
お見せしなさい","Please show that piece of stone to the 
White Dragon in the temple.",Alvar,,Alvar,,Alvar
"あとは白竜様のご判断次第
身を委ねることだな","Afterwards, 
it is up to Lord White Dragon's judgment.
To entrust oneself to him.",Alvar,,Alvar,,Alvar
おや――,Oh--,Alvar,,Alvar,,Alvar
"《リムストーンの原石》は
その手の内にあるのだろう？","You have the ""Riftstone Ore"" in your 
possession, don't you?",Alvar,,Alvar,,Alvar
"ならば神殿に戻り、白竜様の
ご判断を仰ぐが良い","If so, then you should return to the temple and 
seek the judgement of Lord White Dragon.",Alvar,,Alvar,,Alvar
おお――《ポーン郷》帰りか,Oh—back from the the Pawn Cathedral?,Leo,,Leo,,Leo
"例のモノを持ってるなら
ミシアルに見せてこい","If you have that thing, go and show it to Mysial.",Leo,,Leo,,Leo
"ほう――
ポーンとの契約に奔走中か","Hmm――
Are you negotiating a contract with the Pawns?",Joseph,,Joseph,,Joseph
"《リムストーンの原石》があるのなら
ミシアルに渡しなさい","If you have ""Riftstone Ore"", 
please give it to Mysial.",Joseph,,Joseph,,Joseph
"ポーンとの契約は何度も見たけど
その度に、この世界の神秘を感じるよ","I've seen the contract with Pawns many times,
and each time, I feel the mystery of this world.",Klaus,,Klaus,,Klaus
"彼らはいったいどこから来るのか――
ああ、いつか謎を解き明かしたいなあ","Where the heck do they come from--
Oh, I hope to solve the mystery someday!",Klaus,,Klaus,,Klaus
白竜はまどろんでいる――,The white dragon is slumbering--,The White Dragon,,The White Dragon,,The White Dragon
おつかれさまです,Thank you for your hard work.,Mysial,,Mysial,,Mysial
"あら――
《リムストーンの原石》ですね？","Oh--
is that Riftstone Ore?",Mysial,,Mysial,,Mysial
"それでは、さっそく
契約の儀式を始めましょう","Now then, let's proceed with the ceremony 
of the contract.",Mysial,,Mysial,,Mysial
"さあ――
あなたが共に歩みたいポーンの姿を
強くイメージしてください","Now-- 
Please focus strongly on the appearance of the 
pawn you wish to walk with.",Mysial,,Mysial,,Mysial
"この先のエリアは、貴君単独での試練となる
支度ができたら教えなさい","This area ahead will be a trial for you alone.
Let me know when you are ready.",Alvar,,Alvar,,Alvar
【ヒント：覚者のさらなる成長について】,【Hint: Further Growth of the Arisen】,Mysial,,Mysial,,Mysial
メインポーンが編成が可能となり戦力が強化されました,"The main pawn can now be summoned, 
and its strength strengthened.",Mysial,,Mysial,,Mysial
イリスやセネカから覚者のさらなる成長について学び、<COL ff7575>メインクエスト《紅の結晶》</COL>を進めましょう,"Learn more about the further growth of the Arisen 
from Iris and Seneka, and progress with the 
Main Story Quest ""The Crimson Crystal"".",Mysial,,Mysial,,Mysial
