MsgJp,MsgEn,speaker
<COL ff7575><KCT ATTACK1></COL>で連撃！連続して押せば３連撃だ！,"<COL ff7575><KCT ATTACK1></COL> for combos! 
Press repeatedly for a three hit combo!",Arisen Corps Regimental Soldier
ガード中の敵に<COL ff7575><KCT ATTACK2></COL>で斬り崩し！敵のガードを崩すんだ！,"Use <COL ff7575><KCT ATTACK2></COL> to break an enemy's guard.
Shatter their defenses!",Arisen Corps Regimental Soldier
<COL ff7575><KCT WEAPON_SUB></COL>でガード！敵の攻撃を防げ！,<COL ff7575><KCT WEAPON_SUB></COL> to guard! Block the enemy's attacks!,Arisen Corps Regimental Soldier
よし、最後の仕上げだ。祠の奥へ向かい、そこにいる敵を連撃や斬り崩しで倒すんだ！ガードも忘れるなよ,"Now, the final step. Head deeper into the chapel,
defeat the enemies there with combos and
guard breaks. Don't forget to guard!",Arisen Corps Regimental Soldier
試練完了、よくやったな！奥にある＜頑盾の証＞を受け取り、神殿のレンテンに報告するがいい,"Trial complete, well done! 
Take the <Fighter's Mark> in the back 
and report to Renton at the temple.",Arisen Corps Regimental Soldier
"おめでとう、覚者よ
これにて戦術試練は完了だ！","Congratulations, Arisen.
The tactical trial is now complete!",Arisen Corps Regimental Soldier
"今覚えたファイターの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からファイターの戦法や
戦術的役割を確認するんだ","To review the Fighter's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties.",Arisen Corps Regimental Soldier
"お前なら、より巨大な魔物へ挑むための
試練も達成できるだろう
さらなる挑戦を待っているぞ","You might even be able to conquer trials
for larger beasts. Greater challenges await!",Arisen Corps Regimental Soldier
"与えられた試練を全てこなせた者のみ
《頑盾の証》を得ることができる","Only those who complete all trials
may obtain the 《Fighter's Mark.》",Wilson
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding.",Wilson
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all of the enemies in the trial vanish,
leave then return later to try again.",Wilson
あらためてよろしく、俺はレンテン,"Good to see you again, I'm Renton!",Renton
"あんたには特別試練ってやつを、受けてもらうよ
大丈夫！　ファイター誰もが通る道さ","You'll be taking on a special trial. Don't worry...
every Fighter goes through this.",Renton
"こいつは一人でやらなきゃならない
ジョブ――自分の役割ってのを理解するためにさ","This task must be done alone...
to fully understand your Job's role.",Renton
"試練は《修練の祠》ってところでやるんだ
神殿を出て左手の崖沿いに進んだら
案内人の騎士団員がいるから話を聞くといい","The trial takes place at the 'Training Chapel'. 
Exit the temple, follow the left cliff, and
speak to the guide from the Knight's Order",Renton
"来たか、覚者
試練を行う《修練の祠》は、この崖の上だ
ここからよじ登って行ける","You've come, Ser Arisen. 
The 'Training Chapel' for the trial
is atop this cliff. Climb up from here.",White Knight
"しっかりやれよ
お前たち覚者が頼りないと、こっちも困るからな","Do your best. 
We rely on you Arisen...don't let us down.",White Knight
"なぁ、試練の成果はどうだった？
おっそうか！　うまくいったか
ジョブの奥深さを知るいい経験になっただろ？","So, how was the trial? Well done! 
A good experience to grasp
your Job's depth, right?",Renton
"もし、別のジョブに転職することがあったら
また挑戦してみてくれよな","If you switch Jobs later,
give this trial another shot.",Renton
"どうした？
《修練の祠》は崖の上だ、はやく登って行け","What's wrong? 
The 'Training Chapel' is atop the cliff.
Hurry and get up there.",White Knight
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces a trial without fear
and fulfills their duty no matter what.",Wilson
"与えられた試練を全てこなせた者のみ
《頑盾の証》を得ることができる","Only those who complete all trials
may obtain the 《Fighter's Mark.》",Wilson
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding.",Wilson
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn 
to fight alongside you. Etch these combat skills
into your mind during the trial!",Wilson
"さあ、準備が整ったら
《修練の祠》へ行ってくれよ
神殿の外を左手に進んで、案内人と話すんだ","Now, when you're ready, please go to
the 'Training Chapel'. Go outside the
temple to the left and talk to the guide.",Renton
"《頑盾の証》、よくぞ得た！
今後は実戦にてその戦技を鍛錬するのだ
神殿に戻りレンテンに報告するがいい、覚者よ！","A 'Fighter's Mark'...well earned! 
Hone these skills in real battle.
Return to the temple and report to Renton, Arisen",Wilson
