"Jp","En"
"よぉ！　珍しい戦術試練を始めたよ
スピリットランサーの基礎戦術についてさ","Yo! I've got an exclusive trial on offer.
It's all about Spirit Lancer techniques."
"まだあまり知られてないジョブだからこそ
訓練し甲斐もあるだろ？
もちろん今回も一人で挑戦しなきゃならない","Being a lesser-known Vocation
makes learning it worthwhile, right?
Of course, you'll face this trial alone again."
"《修練の祠》の場所はわかるよな？
神殿を出て左手、崖沿いさ
その中にいる案内人の騎士団員と話すんだ","You know where the《Training Chapel》is, right?
Exit the Temple and head left, along the cliff.
Speak with the Knight's Order member inside."
"さあ、《修練の祠》へ行くんだ
案内人は神殿を出て左手を進めば、崖の上さ","Now,《Training Chapel》awaits.
The guide says, head left as you exit the Temple,
then you will reach the top of the cliff."
"与えられた試練を全てこなせた者のみ
《霊槍の証》を得ることができる","Complete all objectives as they appear
and obtain the《Spirit Lancer's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If you're unsure about any of the objectives,
check your quest log before proceeding.
Information for your trial can be reviewed there."
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","I'll have a comrade fight alongside you
so you can reference their movements.
Etch these combat skills into your mind
during the trial!"
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces any trial without fear
and fulfills their duty no matter what."
"与えられた試練を全てこなせた者のみ
《霊槍の証》を得ることができる","Complete all objectives as they appear
and obtain the《Spirit Lancer's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If you're unsure about any of the objectives,
check your quest log before proceeding.
Information for your trial can be reviewed there."
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all of the enemies in the trial vanish,
leave then return later to try again."
"《霊槍の証》、よくぞ得た！
ジョブについての理解も、さらに深まったようだな
神殿に戻りレンテンに報告するがいい、覚者よ！","You've obtained the《Spirit Lancer's Mark!》
Your grasp of the job has deepened, I see.
Report to Renton at the Temple, Arisen!"
"今回の試練、うまくいったみたいで何より！
しかし、違う国のジョブにまで手を出すなんて
本当にすごいよなぁ！
スピリットランサーって響きもかっこいいしな！","Looks like this trial went well, that's great!
Getting to see jobs from other countries
is really something else! ""Spirit Lancer...""
Even the name of it sounds so cool!"
"また転職したら、いつでも来いよな
なんだかんだで基本は大事だぜ！","Come back anytime you change Vocations.
Fundamentals matter more than you'd think!"
"おめでとう、白き竜の覚者よ
これにて戦術試練は完了だ――！","Congratulations, Arisen of the White Dragon.
And with that, the Tactics Trial is complete!"
"今覚えたスピリットランサーの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》から戦法や
戦術的役割を確認するんだ","To review the Spirit Lancer's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties."
"それにしても、突然レンテンとやらにこの国に招かれ
霊槍術について説明することになるとは――
面白いこともあるものだ
我々の技が白竜にとっても益となることを祈っている","To be suddenly invited by Renton to impart
Spirit Lance techniques to this country...
Stranger things have happened, I suppose.
I pray our skills will benefit the White Dragon."
"<COL ff7575><KCT ATTACK1></COL>でスラスト！　基本の攻撃だ！","Use <COL ff7575><KCT ATTACK1></COL> to Thrust!
Your basic attack!"
"敵にダメージを与えるたびに<COL ff7575>スピリットゲージを貯める</COL>ことができるぞ！","Every time you deal damage to an enemy,
you <COL ff7575>fill the Spirit Gauge</COL>!"
"次に<COL ff7575><KCT ATTACK2></COL>でエイドだ！","Next, <COL ff7575><KCT ATTACK2></COL> is Aid!"
"スキル発動時の霊球が敵や壁に接触すると、対象に付着できる！　<COL ff7575>空中でも発動可能</COL>だ！","When the spirit orb from a skill
hits an enemy or wall, it sticks!
<COL ff7575>Use it in mid-air as well</COL>!"
"<COL ff7575><KCT AVOID></COL>でスカー・ムーブだ！　敵の攻撃を回避しろ！","Dodge enemy attacks with Scáth Move!
Use <COL ff7575><KCT AVOID></COL>!"
"回避に成功するたびに<COL ff7575>スピリットゲージが貯まる</COL>のがわかるだろう！","Notice how <COL ff7575>the Spirit Gauge fills</COL>
each time you dodge successfully!"
"攻撃や回避でスピリットゲージが溜まったら、<COL ff7575><KCT ELIXIR_CHANGE>でアタックブースト</COL>発動！","Once the Spirit Gauge fills
from attacks or dodges,
<COL ff7575><KCT ELIXIR_CHANGE> activates Attack Boost</COL>!"
"<COL ff7575><KCT SKILL_NORMAL1>でヒールブースト</COL>だ！","<COL ff7575><KCT SKILL_NORMAL1> is Heal Boost</COL>!"
"戦況に応じて攻撃スキルか支援スキル、どちらかの性能をアップさせて使い分けるのだ！","Adapt to new situations by boosting
either attack or support skills as needed!"
"よし、では祠の奥へ向かい大型敵と対峙だ！大型敵の<COL ff7575>＜怒り状態＞</COL>に注意しろ！","Alright now!
Head further in and face the large foe!
Beware its <COL ff7575>enraged state</COL>!"
"そして<COL ff7575><KCT TOUCH></COL>でヤツにしがみつけ！","Now use <COL ff7575><KCT TOUCH></COL> to climb onto it!"
"その状態で<COL ff7575><KCT ATTACK1></COL>でイラー・スラストだ！","While in that state,
<COL ff7575><KCT ATTACK1></COL> becomes Iolar Thrust!"
"怒り状態の敵に<COL ff7575><KCT ATTACK2></COL>でエイドを発動させろ！シークレットコアを暴きだせるぞ！","Use <COL ff7575><KCT ATTACK2></COL> to activate Aid
on enraged enemies!
It exposes the Secret Core!"
"では大型敵の<COL ff7575>＜怒り状態＞</COL>に注意してヤツを仕留めてみろ！","Stay wary of its <COL ff7575>enraged state</COL>!
Keep up the attack!"
