Jp,En,speaker
"ふむ、白竜様からの力は受け取っておる
お前さんにこの技を伝えるかどうか
わしが品定めしろということじゃな","I bear the White Dragon's gift, indeed.
Passing this art to you...
Requires my assessment first.",Rudolfo
"どれほど護り、鍛えてきたか――
実戦で見せてもらうことにしようかの
試練の場で落ち合おうぞ","How much you have protected and trained—
Let me see it in actual combat.
Let us meet at the trial grounds.",Rudolfo
"どれほど護り、鍛えてきたか――
実戦で見せてもらうことにしようかの
試練の場で落ち合おうぞ","How much you have protected and trained—
Let me see it in actual combat.
Let us meet at the trial grounds.",Rudolfo
"来たか
今回はワシも共に戦場を駆けるとしよう
より近くで見定めさせてもらうぞ","You've come.
This time I shall join you on the battlefield.
Let me observe you up close.",Rudolfo
"お前さんの積み重ねてきた“砦”
見せてもらおうかの","Let me see how good a ""shield"" you truly are.",Rudolfo
ほれ、最初の試練が出たぞ,"Look, the first trial is here.",Rudolfo
"その調子じゃ
次は第二の試練の場所へ向かうぞ","Good.
Let us proceed to the second trial.",Rudolfo
見つけたか、これが第二の試練じゃ,You've located it... the second trial awaits.,Rudolfo
よしよし、次が最後の試練じゃ,"Good, good.
The next one is the final trial.",Rudolfo
これが最後の試練じゃぞ！,This is your last test!,Rudolfo
"お前さんの戦いぶり、その精神力
しかと見届けた！
新たな技の継承の儀式は灯台に戻って行おうかの","Your battle prowess and indomitable will -
I've seen them with my own eyes!
Now to the lighthouse we return,
for the rite of the technique.",Rudolfo
"お前さんの戦いぶり、その精神力
しかと見届けた！","Your battle prowess and indomitable will -
I've seen them with my own eyes!",Rudolfo
"新たな技の継承の儀式は灯台に戻って行おうかの
――さて、帰るとするか","Let us return to the lighthouse for the rite
of inheriting the new technique.",Rudolfo
"己自身を仲間を守る砦とし
戦いの行方を導く確かな灯台となる
――そんなシールドセージに
お前さんは確かに近づいておるようじゃ","Making yourself a fortress to protect allies
and a steadfast lighthouse 
to guide the battle’s course—
You are indeed drawing closer to becoming
such a Shield Sage.",Rudolfo
"白竜様から賜りしこの技を使うにふさわしい
これからもさらに精進するようにな","You are worthy of using this technique
bestowed by Lord White Dragon.
Strive to improve even further from now on.",Rudolfo
シールドセージはみなの砦であり灯台でもあるぞ,"A Shield Sage is both a fortress 
and a beacon for all.",Rudolfo
敵の攻撃を受け止め、反撃の力とするのじゃ,"Let the enemy's blow be caught
and become your returning might.",Rudolfo
敵の弱点属性を見極めることが大事じゃぞ,It's important to identify the enemy's weaknesses.,Rudolfo
味方がいるなら、その能力も把握しておくんじゃ,"If you have allies, be sure to understand
their abilities as well.",Rudolfo
属性を見極めた者が戦いを制するのじゃ,"Those who discern these attributes 
will control the battle.",Rudolfo
敵の弱点属性は把握しておるか？,Have you grasped the enemy's weaknesses?,Rudolfo
攻守の切替は自分にあった間合いをとるのじゃ,"Switching between offense and defense requires
finding your own optimal distance.",Rudolfo
状態異常を与えるタイミングも大事じゃな,Timing to inflict status ailments is also important.,Rudolfo
攻撃を防御してフォースバーストが基本じゃ,"Defending attacks to build 
Force Burst is fundamental.",Rudolfo
敵の動きを見極めることが肝心じゃ,It's crucial to read the enemy's movements.,Rudolfo
