"Jp","En","english","speaker"
"覚者様――
少し、雑談でもいかがでしょうか
この国に関するお話です","Ser Arisen--
Can we have a quick talk?
It's about this country.","","Iruva"
"アッカーシェラン各地には
王家ゆかりの者や、王家にその人生を捧げた者が
英霊として祀られる地下道があるのです","Throughout Acre Selund,
there are underground passages where those
connected to the royal family or who dedicated
their lives to it are enshrined as spirits.","","Iruva"
"英霊たちは王家に危機が迫った時
よみがえってその力を
貸してくれるというおとぎ話は、
この国の者なら誰もが知っているところ","The tale of spirits reviving to lend
their power when the royal family faces
crisis is known by all in this land.","","Iruva"
"もちろん、それはおとぎ話――
本気で信じている者はいないでしょう","Of course, it's just a fairy tale--
No one truly believes it.","","Iruva"
"しかし、なぜ各地にそのような場が設えられたか
私の予想では、《英霊眠りし道》とは
それぞれの土地にある、特に強い竜力が
流れる場所なのです","But why were such places built?
My theory is that the Heroic Spirit Sleeping Path
are locations where particularly strong
dragon energy flows in each region.","","Iruva"
"いまや参拝する者もおらず、かろうじて
番人がその入口を守るのみとなっていますが――
あの場に眠る力を覚者様のものとできれば
きっと、さらに状況はよくなるはず","Now devoid of worshippers, barely
guarded by sentinels at their entrance...
But, if claimed by you, Ser Arisen, 
that slumbering power could surely bring
better times for all.","","Iruva"
"覚者様、《<STG 1140>》へ向かい
真相を調査してきていただけないでしょうか
きっと、現地の番人であれば内部のことを
いくらかは知っているはずです","Ser Arisen, could you head to
<STG 1140> and investigate the truth?
The local guards should know something
about the inside.","","Iruva"
"あの場に眠る力を覚者様のものとできれば
きっと、さらに状況はよくなるはず
<STG 1140>に向かい
現地の番人の話を聞いてみてください","If you can claim the power sleeping there,
things will surely improve.
Head to <STG 1140> and
listen to the local guards.","","Iruva"
"え？　《英霊眠りし道》についてですか？
――こうして守備を任されている自分が言うのも
おかしな話ですが、半ばおとぎ話ですよ","Huh? About the Heroic Spirit Sleeping Path?
... It might sound strange coming from me
since I'm entrusted with guarding it,
but it's practically a fairy tale.","","Pehr"
"ええっと――王家に危機が訪れた時
ここに祀られた英霊たちが
力を貸してくれるってやつです
まぁ、ありえませんよね","Well… When the royal family faces a crisis,
the heroic spirits enshrined here lend
their power. There's no chance of that happening.","","Pehr"
"――あと、王家の叡智によって
ここに強力な竜力が眠っているとかいう話も
聞いたことがありますね","... I've also heard legends that speak of
great draconic power slumbering here,
granted by the royal family's wisdom.","","Pehr"
"その力を解放するには
“呪印刻まれし石版の試練”を乗り越え
奥にある“英霊の石像”に触れないといけないとか","To release that power, you must
overcome the ""Trial of the Cursed Tablet""
and place your hand on 
the ""Spirit Heroes Statue"" deep inside.","","Pehr"
"石版の試練とは？","What is the Trial of the Tablet?","","Pehr"
"英霊の石像とは？","What is the Spirit Heroes Statue?","","Pehr"
"石版の試練は――
この地を守るために
先人たちが用意した試練って話ですよ","The Trial of the Tablet...
It's said to be a trial prepared
by our ancestors to protect this land.","","Pehr"
"呪印のある石版に触れて
先人たちの霊魂が宿る
“試練の敵”に打ち勝つ必要があって――","You must touch the cursed stone
and defeat the Trial Enemies,
which house the ancestors' souls--","","Pehr"
"その試練に打ち勝てば
英霊たちが守る恩恵に与ることが
できるんだそうです","If you overcome the trial,
you can receive the blessings
of the spirits' protection.","","Pehr"
"まぁ、よくある話ですよね
何せ昔に造られたもので、奥は
土砂に埋まってますから
探索するにしても難しいと思います","Well, it's a common tale.
It was built long ago, and the depths
are buried in debris, so
exploring would be difficult.","","Pehr"
"あ、覚者さまなら
自由に中を見学してくださっても大丈夫ですよ！
きっとこの国の者全員がそう思っているはずです","Ah, but Ser Arisen, you're free
to explore inside! I'm sure
everyone in this country agrees.","","Pehr"
"うーんと――
そうそう、英霊の間の最奥に安置された
英霊の石像に触れる事で――","Hmm, let me see...
Ah yes, by touching the Spirit Heroes Statue
enshrined in the deepest part of the chamber...","","Pehr"
"限られた時にしか入ることができない、
この地に眠る強力な竜力に
まみえることができる
スポットが解放されるのだとか","It's said that a spot where one can encounter the 
mighty Dragon Force, slumbering in this land, 
will be unlocked. 
But it can only be accessed at certain times.","","Pehr"
"なんでも、ブラッドオーブよりも
はるかに強力な竜力なんだそうですよ
《ハイオーブ》ってところですかね","They say it's far stronger than Blood Orbs. 
Perhaps one might call it a ""High Orb""?","","Pehr"
"覚者さまなら、中を見学してくださっても
大丈夫ですが――
念のために言っておきますけど
本当にそんなものがあるかはわかりませんよ","Master Arisen, you may take a look inside if you
wish. But just to be clear, I truly don't know if
such a thing really exists.","","Pehr"
"やはり、《英霊眠りし道》には
おとぎ話の元となる秘密が隠されていたのですね！","So, the Heroic Spirit Sleeping Path
hid the secret behind the fairy tale!","","Iruva"
"限られた期間しか入ることができない
《入場制限スポット》が
どこにあるかは＜エリアリスト＞の
＜スポット情報＞を確認してみてください","For spots with limited access periods,
check Restricted Spots
in the Area List's Spot Info.","","Iruva"
"アッカーシェランに流れる竜力を
覚者様が手にされたことで
あなた様が仕える白き竜にも
よい影響があるはずです","By claiming the Dragon Force
of Acre Selund, Ser Arisen,
your patron, the White Dragon,
will surely benefit as well.","","Iruva"
"ぜひ、レスタニアの白き竜の元を
訪れてみてください","Please, visit Lestania's White Dragon.","","Iruva"
"アッカーシェランに流れる竜力を
覚者様が手にされたことで
あなた様が仕える白き竜にも
よい影響があるはずです","By claiming the Dragon Force
of Acre Selund, Ser Arisen,
your patron, the White Dragon,
will surely benefit as well.","","Iruva"
"ぜひ、レスタニアの白き竜の元を
訪れてみてください","Please, visit Lestania's White Dragon.","","Iruva"
"覚者よ、よくやった――
この身を巡る竜力が新たな高みに至った","Arisen, well hast thou performed――
The dragon's might that dwelleth in me
hath risen to newfound heights.","","The White Dragon"
